,cust_id,recency,frequency,monetary,basket_size,r,f,m,grade,rfm,score,level
90,12436.0,106,1,509.01,509.01,2,1,2,a,212,5,bronze
91,12437.0,8,47,12394.85,263.72,4,4,4,b,444,12,platinum
92,12438.0,21,2,2906.85,1453.43,4,1,4,a,414,9,gold
93,12439.0,689,3,1104.48,368.16,1,2,3,a,123,6,silver
94,12440.0,464,3,768.15,256.05,1,2,2,b,122,5,bronze
95,12441.0,373,1,347.1,347.1,2,1,2,b,212,5,bronze
96,12442.0,10,1,172.06,172.06,4,1,1,c,411,6,silver
97,12443.0,739,1,485.31,485.31,1,1,2,a,112,4,bronze
98,12444.0,28,5,5005.46,1001.09,4,3,4,a,434,11,platinum
99,12445.0,29,3,426.48,142.16,4,2,2,d,422,8,gold
100,12446.0,64,1,1002.31,1002.31,3,1,3,a,313,7,silver
101,12447.0,250,1,476.49,476.49,2,1,2,a,212,5,bronze
102,12448.0,51,1,449.45,449.45,3,1,2,a,312,6,silver
103,12449.0,29,6,4835.89,805.98,4,3,4,a,434,11,platinum
104,12450.0,163,7,666.95,95.28,2,3,2,d,232,7,silver
105,12451.0,17,10,12546.53,1254.65,4,4,4,a,444,12,platinum
106,12452.0,23,3,428.57,142.86,4,2,2,d,422,8,gold
107,12453.0,141,1,707.09,707.09,2,1,2,a,212,5,bronze
108,12454.0,60,9,4292.71,476.97,3,4,4,a,344,11,platinum
109,12455.0,80,10,5879.95,588.0,3,4,4,a,344,11,platinum
110,12456.0,51,4,3153.89,788.47,3,2,4,a,324,9,gold
111,12457.0,65,14,2472.31,176.59,3,4,4,c,344,11,platinum
112,12458.0,78,4,1777.49,444.37,3,2,3,a,323,8,gold
113,12459.0,612,1,454.36,454.36,1,1,2,a,112,4,bronze
114,12460.0,463,1,326.65,326.65,1,1,2,b,112,4,bronze
115,12461.0,101,2,826.88,413.44,3,1,2,a,312,6,silver
116,12462.0,9,4,1124.01,281.0,4,2,3,b,423,9,gold
117,12463.0,53,7,1303.63,186.23,3,3,3,c,333,9,gold
118,12464.0,17,8,1212.05,151.51,4,3,3,c,433,10,gold
119,12465.0,14,3,733.89,244.63,4,2,2,b,422,8,gold
120,12466.0,689,1,56.73,56.73,1,1,1,d,111,3,bronze
121,12467.0,393,2,-0.0,-0.0,1,1,1,d,111,3,bronze
122,12468.0,150,10,3624.55,362.46,2,4,4,a,244,10,gold
123,12469.0,529,2,3070.54,1535.27,1,1,4,a,114,6,silver
124,12470.0,696,1,211.95,211.95,1,1,1,c,111,3,bronze
125,12471.0,9,129,37948.61,294.18,4,4,4,b,444,12,platinum
126,12472.0,37,37,16956.69,458.29,3,4,4,a,344,11,platinum
127,12473.0,36,9,2848.23,316.47,3,4,4,b,344,11,platinum
128,12474.0,24,54,11966.45,221.6,4,4,4,c,444,12,platinum
129,12475.0,60,2,1149.64,574.82,3,1,3,a,313,7,silver
130,12476.0,8,38,13715.62,360.94,4,4,4,a,444,12,platinum
131,12477.0,29,12,20173.64,1681.14,4,4,4,a,444,12,platinum
132,12478.0,10,1,680.99,680.99,4,1,2,a,412,7,silver
133,12479.0,10,3,477.3,159.1,4,2,2,c,422,8,gold
134,12480.0,35,8,5435.1,679.39,3,3,4,a,334,10,gold
135,12481.0,29,18,12217.03,678.72,4,4,4,a,444,12,platinum
136,12482.0,456,32,21893.53,684.17,1,4,4,a,144,9,gold
137,12483.0,24,27,4846.87,179.51,4,4,4,c,444,12,platinum
138,12484.0,39,16,6303.85,393.99,3,4,4,a,344,11,platinum
139,12485.0,536,1,708.1,708.1,1,1,2,a,112,4,bronze
140,12486.0,438,1,1037.28,1037.28,1,1,3,a,113,5,bronze
141,12487.0,737,2,259.8,129.9,1,1,1,d,111,3,bronze
142,12488.0,16,3,1298.66,432.89,4,2,3,a,423,9,gold
143,12489.0,343,1,334.93,334.93,2,1,2,b,212,5,bronze
144,12490.0,12,22,9818.64,446.3,4,4,4,a,444,12,platinum
145,12491.0,45,1,460.4,460.4,3,1,2,a,312,6,silver
146,12492.0,70,3,715.21,238.4,3,2,2,b,322,7,silver
147,12493.0,172,3,416.79,138.93,2,2,2,d,222,6,silver
148,12494.0,16,17,1743.52,102.56,4,4,3,d,443,11,platinum
149,12495.0,641,2,323.4,161.7,1,1,1,c,111,3,bronze
150,12496.0,627,2,54.09,27.04,1,1,1,d,111,3,bronze
151,12497.0,88,4,6211.75,1552.94,3,2,4,a,324,9,gold
152,12498.0,28,3,403.7,134.57,4,2,2,d,422,8,gold
153,12499.0,567,1,393.72,393.72,1,1,2,a,112,4,bronze
154,12500.0,30,25,5872.31,234.89,4,4,4,b,444,12,platinum
155,12501.0,322,2,2089.68,1044.84,2,1,3,a,213,6,silver
156,12502.0,102,5,3723.87,744.77,3,3,4,a,334,10,gold
157,12503.0,344,2,0.0,0.0,2,1,1,d,211,4,bronze
158,12504.0,25,6,411.0,68.5,4,3,2,d,432,9,gold
159,12505.0,308,3,908.0,302.67,2,2,3,b,223,7,silver
160,12506.0,239,1,73.5,73.5,2,1,1,d,211,4,bronze
161,12507.0,141,5,1797.31,359.46,2,3,3,a,233,8,gold
162,12508.0,33,2,398.27,199.14,3,1,2,c,312,6,silver
163,12509.0,291,1,176.5,176.5,2,1,1,c,211,4,bronze
164,12510.0,149,16,3689.33,230.58,2,4,4,c,244,10,gold
165,12511.0,421,2,3065.77,1532.89,1,1,4,a,114,6,silver
166,12512.0,73,2,138.03,69.02,3,1,1,d,311,5,bronze
167,12513.0,91,2,586.79,293.4,3,1,2,b,312,6,silver
168,12514.0,274,2,1597.76,798.88,2,1,3,a,213,6,silver
169,12515.0,360,1,383.7,383.7,2,1,2,a,212,5,bronze
170,12516.0,84,4,2648.62,662.16,3,2,4,a,324,9,gold
171,12517.0,35,6,2464.89,410.81,3,3,4,a,334,10,gold
172,12518.0,7,5,2056.89,411.38,4,3,3,a,433,10,gold
173,12519.0,70,3,695.19,231.73,3,2,2,b,322,7,silver
174,12520.0,86,6,2582.51,430.42,3,3,4,a,334,10,gold
175,12521.0,149,1,599.68,599.68,2,1,2,a,212,5,bronze
176,12522.0,46,2,192.72,96.36,3,1,1,d,311,5,bronze
177,12523.0,8,30,4220.85,140.7,4,4,4,d,444,12,platinum
178,12524.0,16,18,11091.36,616.19,4,4,4,a,444,12,platinum
179,12525.0,498,8,835.18,104.4,1,3,2,d,132,6,silver
180,12526.0,7,3,1316.66,438.89,4,2,3,a,423,9,gold
181,12527.0,88,5,735.51,147.1,3,3,2,d,332,8,gold
182,12528.0,16,8,1922.28,240.29,4,3,3,b,433,10,gold
183,12529.0,529,2,311.78,155.89,1,1,1,c,111,3,bronze
184,12530.0,66,12,3689.86,307.49,3,4,4,b,344,11,platinum
185,12531.0,21,3,1899.05,633.02,4,2,3,a,423,9,gold
186,12532.0,37,1,349.83,349.83,3,1,2,b,312,6,silver
187,12533.0,625,6,1149.99,191.66,1,3,3,c,133,7,silver
188,12534.0,137,1,1089.18,1089.18,2,1,3,a,213,6,silver
189,12535.0,98,2,716.35,358.18,3,1,2,a,312,6,silver
190,12536.0,14,5,4106.82,821.36,4,3,4,a,434,11,platinum
191,12537.0,415,1,732.94,732.94,1,1,2,a,112,4,bronze
192,12538.0,36,2,640.45,320.22,3,1,2,b,312,6,silver
193,12539.0,29,8,9498.9,1187.36,4,3,4,a,434,11,platinum
194,12540.0,26,36,22107.29,614.09,4,4,4,a,444,12,platinum
195,12541.0,36,3,981.18,327.06,3,2,3,b,323,8,gold
196,12542.0,491,4,423.38,105.84,1,2,2,d,122,5,bronze
197,12543.0,455,1,980.25,980.25,1,1,3,a,113,5,bronze
198,12544.0,36,2,355.7,177.85,3,1,2,c,312,6,silver
199,12545.0,82,2,1000.39,500.19,3,1,3,a,313,7,silver
200,12546.0,53,3,1141.5,380.5,3,2,3,a,323,8,gold
201,12547.0,204,3,383.58,127.86,2,2,2,d,222,6,silver
202,12548.0,173,1,95.2,95.2,2,1,1,d,211,4,bronze
203,12549.0,582,6,1575.68,262.61,1,3,3,b,133,7,silver
204,12550.0,86,1,964.83,964.83,3,1,3,a,313,7,silver
205,12551.0,364,1,168.0,168.0,2,1,1,c,211,4,bronze
206,12552.0,45,2,437.82,218.91,3,1,2,c,312,6,silver
207,12553.0,15,17,4548.82,267.58,4,4,4,b,444,12,platinum
208,12554.0,455,1,468.5,468.5,1,1,2,a,112,4,bronze
209,12555.0,689,1,129.23,129.23,1,1,1,d,111,3,bronze
210,12556.0,57,2,603.71,301.85,3,1,2,b,312,6,silver
211,12557.0,23,8,18716.14,2339.52,4,3,4,a,434,11,platinum
212,12558.0,8,2,0.0,0.0,4,1,1,d,411,6,silver
213,12559.0,317,3,536.21,178.74,2,2,2,c,222,6,silver
214,12560.0,12,4,2101.39,525.35,4,2,3,a,423,9,gold
215,12561.0,309,1,238.85,238.85,2,1,1,b,211,4,bronze
216,12562.0,15,9,4966.92,551.88,4,4,4,a,444,12,platinum
217,12563.0,415,1,249.24,249.24,1,1,1,b,111,3,bronze
218,12564.0,268,1,456.9,456.9,2,1,2,a,212,5,bronze
219,12565.0,288,2,131.17,65.58,2,1,1,d,211,4,bronze
220,12566.0,79,2,346.7,173.35,3,1,2,c,312,6,silver
221,12567.0,29,17,13393.82,787.87,4,4,4,a,444,12,platinum
222,12568.0,651,1,70.0,70.0,1,1,1,d,111,3,bronze
223,12569.0,9,35,4064.99,116.14,4,4,4,d,444,12,platinum
224,12570.0,689,1,77.52,77.52,1,1,1,d,111,3,bronze
225,12571.0,46,2,519.61,259.8,3,1,2,b,312,6,silver
226,12572.0,15,3,1004.72,334.91,4,2,3,b,423,9,gold
227,12573.0,234,5,717.41,143.48,2,3,2,d,232,7,silver
228,12574.0,322,1,218.45,218.45,2,1,1,c,211,4,bronze
229,12575.0,464,2,622.82,311.41,1,1,2,b,112,4,bronze
230,12576.0,42,11,2083.87,189.44,3,4,3,c,343,10,gold
231,12577.0,42,9,1591.35,176.82,3,4,3,c,343,10,gold
232,12578.0,28,7,4572.45,653.21,4,3,4,a,434,11,platinum
233,12579.0,80,3,410.72,136.91,3,2,2,d,322,7,silver
234,12580.0,253,2,1052.9,526.45,2,1,3,a,213,6,silver
235,12581.0,46,1,197.71,197.71,3,1,1,c,311,5,bronze
236,12582.0,245,4,1980.4,495.1,2,2,3,a,223,7,silver
237,12583.0,9,31,14344.9,462.74,4,4,4,a,444,12,platinum
238,12584.0,10,18,1893.95,105.22,4,4,3,d,443,11,platinum
239,12585.0,241,4,1982.81,495.7,2,2,3,a,223,7,silver
240,12586.0,24,5,2028.67,405.73,4,3,3,a,433,10,gold
241,12587.0,14,1,144.0,144.0,4,1,1,d,411,6,silver
242,12588.0,46,5,938.98,187.8,3,3,3,c,333,9,gold
243,12589.0,35,11,3094.17,281.29,3,4,4,b,344,11,platinum
244,12590.0,197,5,9853.48,1970.7,2,3,4,a,234,9,gold
245,12591.0,324,3,1352.15,450.72,2,2,3,a,223,7,silver
246,12592.0,99,8,1152.62,144.08,3,3,3,d,333,9,gold
247,12593.0,115,3,418.1,139.37,2,2,2,d,222,6,silver
248,12594.0,44,17,5044.51,296.74,3,4,4,b,344,11,platinum
249,12595.0,511,1,299.02,299.02,1,1,1,b,111,3,bronze
250,12596.0,58,2,618.27,309.14,3,1,2,b,312,6,silver
251,12597.0,26,5,3683.13,736.63,4,3,4,a,434,11,platinum
252,12598.0,16,15,4414.67,294.31,4,4,4,b,444,12,platinum
253,12599.0,36,13,2296.72,176.67,3,4,4,c,344,11,platinum
254,12600.0,35,26,4955.79,190.61,3,4,4,c,344,11,platinum
255,12601.0,196,7,673.76,96.25,2,3,2,d,232,7,silver
256,12602.0,65,1,153.12,153.12,3,1,1,c,311,5,bronze
257,12603.0,28,1,739.2,739.2,4,1,2,a,412,7,silver
258,12604.0,86,2,254.18,127.09,3,1,1,d,311,5,bronze
259,12605.0,372,5,1217.95,243.59,2,3,3,b,233,8,gold
260,12606.0,689,1,21.0,21.0,1,1,1,d,111,3,bronze
261,12607.0,65,2,0.0,0.0,3,1,1,d,311,5,bronze
262,12608.0,411,1,415.79,415.79,1,1,2,a,112,4,bronze
263,12609.0,85,10,3417.86,341.79,3,4,4,b,344,11,platinum
264,12610.0,29,7,2057.99,294.0,4,3,3,b,433,10,gold
265,12611.0,59,1,1193.32,1193.32,3,1,3,a,313,7,silver
266,12612.0,64,2,643.59,321.8,3,1,2,b,312,6,silver
267,12613.0,38,13,6591.52,507.04,3,4,4,a,344,11,platinum
268,12614.0,284,1,315.6,315.6,2,1,1,b,211,4,bronze
269,12615.0,9,11,5564.88,505.9,4,4,4,a,444,12,platinum
270,12616.0,92,7,1045.35,149.34,3,3,3,d,333,9,gold
271,12617.0,36,1,355.53,355.53,3,1,2,b,312,6,silver
272,12618.0,28,1,177.31,177.31,4,1,1,c,411,6,silver
273,12619.0,23,14,3354.95,239.64,4,4,4,b,444,12,platinum
274,12620.0,21,3,1339.41,446.47,4,2,3,a,423,9,gold
275,12621.0,8,44,24579.31,558.62,4,4,4,a,444,12,platinum
276,12622.0,239,1,180.1,180.1,2,1,1,c,211,4,bronze
277,12623.0,283,9,3639.84,404.43,2,4,4,a,244,10,gold
278,12624.0,113,2,641.13,320.57,2,1,2,b,212,5,bronze
279,12625.0,218,5,5095.38,1019.08,2,3,4,a,234,9,gold
280,12626.0,30,13,6388.35,491.41,4,4,4,a,444,12,platinum
281,12627.0,17,7,4478.53,639.79,4,3,4,a,434,11,platinum
282,12628.0,11,4,769.61,192.4,4,2,2,c,422,8,gold
283,12629.0,392,2,1558.22,779.11,1,1,3,a,113,5,bronze
284,12630.0,16,2,1270.88,635.44,4,1,3,a,413,8,gold
285,12631.0,64,7,3452.27,493.18,3,3,4,a,334,10,gold
286,12632.0,527,4,738.88,184.72,1,2,2,c,122,5,bronze
287,12633.0,65,10,5595.21,559.52,3,4,4,a,344,11,platinum
288,12634.0,542,2,490.0,245.0,1,1,2,b,112,4,bronze
289,12635.0,96,4,2930.41,732.6,3,2,4,a,324,9,gold
290,12636.0,745,1,141.0,141.0,1,1,1,d,111,3,bronze
291,12637.0,74,14,8271.66,590.83,3,4,4,a,344,11,platinum
292,12638.0,40,2,921.49,460.75,3,1,3,a,313,7,silver
293,12639.0,245,3,1312.37,437.46,2,2,3,a,223,7,silver
294,12640.0,30,3,1174.58,391.53,4,2,3,a,423,9,gold
295,12641.0,122,1,185.9,185.9,2,1,1,c,211,4,bronze
296,12642.0,32,3,1013.26,337.75,3,2,3,b,323,8,gold
297,12643.0,135,14,7880.9,562.92,2,4,4,a,244,10,gold
298,12644.0,136,6,1815.54,302.59,2,3,3,b,233,8,gold
299,12645.0,40,10,3499.1,349.91,3,4,4,b,344,11,platinum
300,12646.0,11,2,1346.97,673.49,4,1,3,a,413,8,gold
301,12647.0,29,45,17682.79,392.95,4,4,4,a,444,12,platinum
302,12648.0,161,5,1097.0,219.4,2,3,3,c,233,8,gold
303,12649.0,114,10,2238.7,223.87,2,4,4,c,244,10,gold
304,12650.0,10,1,314.44,314.44,4,1,1,b,411,6,silver
305,12651.0,341,5,365.3,73.06,2,3,2,d,232,7,silver
306,12652.0,329,3,1011.58,337.19,2,2,3,b,223,7,silver
307,12653.0,155,3,4160.83,1386.94,2,2,4,a,224,8,gold
308,12654.0,17,5,601.98,120.4,4,3,2,d,432,9,gold
309,12655.0,430,1,261.35,261.35,1,1,1,b,111,3,bronze
310,12656.0,24,12,6320.78,526.73,4,4,4,a,444,12,platinum
311,12657.0,18,5,1152.06,230.41,4,3,3,c,433,10,gold
312,12658.0,25,1,686.05,686.05,4,1,2,a,412,7,silver
313,12659.0,36,1,91.68,91.68,3,1,1,d,311,5,bronze
314,12660.0,18,1,245.1,245.1,4,1,1,b,411,6,silver
315,12661.0,443,1,162.0,162.0,1,1,1,c,111,3,bronze
316,12662.0,7,22,6949.17,315.87,4,4,4,b,444,12,platinum
317,12663.0,631,3,204.0,68.0,1,2,1,d,121,4,bronze
318,12664.0,15,12,6052.04,504.34,4,4,4,a,444,12,platinum
319,12665.0,331,5,301.45,60.29,2,3,1,d,231,6,silver
320,12666.0,366,2,1020.98,510.49,2,1,3,a,213,6,silver
321,12667.0,65,1,620.13,620.13,3,1,2,a,312,6,silver
322,12668.0,14,12,11380.71,948.39,4,4,4,a,444,12,platinum
323,12669.0,157,4,1607.73,401.93,2,2,3,a,223,7,silver
324,12670.0,17,8,3750.39,468.8,4,3,4,a,434,11,platinum
325,12671.0,613,1,2622.48,2622.48,1,1,4,a,114,6,silver
326,12672.0,336,3,410.5,136.83,2,2,2,d,222,6,silver
327,12673.0,12,3,1230.02,410.01,4,2,3,a,423,9,gold
328,12674.0,18,7,1919.31,274.19,4,3,3,b,433,10,gold
329,12675.0,560,4,934.8,233.7,1,2,3,b,123,6,silver
330,12676.0,31,12,2773.09,231.09,4,4,4,c,444,12,platinum
331,12677.0,562,3,389.3,129.77,1,2,2,d,122,5,bronze
332,12678.0,49,23,33851.13,1471.79,3,4,4,a,344,11,platinum
333,12679.0,59,9,1058.67,117.63,3,4,3,d,343,10,gold
334,12680.0,7,4,880.81,220.2,4,2,3,c,423,9,gold
335,12681.0,21,56,30551.76,545.57,4,4,4,a,444,12,platinum
336,12682.0,10,53,23945.81,451.81,4,4,4,a,444,12,platinum
337,12683.0,11,27,12418.6,459.95,4,4,4,a,444,12,platinum
338,12684.0,14,7,2283.63,326.23,4,3,4,b,434,11,platinum
339,12685.0,35,6,2863.08,477.18,3,3,4,a,334,10,gold
340,12686.0,378,1,178.28,178.28,2,1,1,c,211,4,bronze
341,12687.0,487,2,2138.91,1069.46,1,1,3,a,113,5,bronze
342,12688.0,120,1,4873.81,4873.81,2,1,4,a,214,7,silver
343,12689.0,32,2,1247.61,623.8,3,1,3,a,313,7,silver
344,12690.0,212,1,389.01,389.01,2,1,2,a,212,5,bronze
345,12691.0,35,7,1170.4,167.2,3,3,3,c,333,9,gold
346,12692.0,644,1,110.95,110.95,1,1,1,d,111,3,bronze
347,12693.0,127,11,1640.42,149.13,2,4,3,d,243,9,gold
348,12694.0,77,4,1839.45,459.86,3,2,3,a,323,8,gold
349,12695.0,14,7,1407.12,201.02,4,3,3,c,433,10,gold
350,12696.0,441,3,801.15,267.05,1,2,2,b,122,5,bronze
351,12697.0,28,5,939.02,187.8,4,3,3,c,433,10,gold
352,12698.0,597,1,339.75,339.75,1,1,2,b,112,4,bronze
353,12699.0,424,1,638.11,638.11,1,1,2,a,112,4,bronze
354,12700.0,14,6,4867.99,811.33,4,3,4,a,434,11,platinum
355,12701.0,86,6,2446.41,407.74,3,3,4,a,334,10,gold
356,12702.0,26,1,219.0,219.0,4,1,1,c,411,6,silver
357,12703.0,71,7,892.18,127.45,3,3,3,d,333,9,gold
358,12704.0,14,10,2220.84,222.08,4,4,4,c,444,12,platinum
359,12705.0,22,22,11554.0,525.18,4,4,4,a,444,12,platinum
360,12706.0,689,1,-91.89,-91.89,1,1,1,d,111,3,bronze
361,12707.0,298,1,603.42,603.42,2,1,2,a,212,5,bronze
362,12708.0,36,30,5118.16,170.61,3,4,4,c,344,11,platinum
363,12709.0,10,55,30312.61,551.14,4,4,4,a,444,12,platinum
364,12710.0,103,4,1130.57,282.64,2,2,3,b,223,7,silver
365,12711.0,618,2,1339.05,669.52,1,1,3,a,113,5,bronze
366,12712.0,29,28,6979.66,249.27,4,4,4,b,444,12,platinum
367,12713.0,7,1,848.55,848.55,4,1,3,a,413,8,gold
368,12714.0,16,12,14093.71,1174.48,4,4,4,a,444,12,platinum
369,12715.0,113,1,353.86,353.86,2,1,2,b,212,5,bronze
370,12716.0,10,2,1053.49,526.74,4,1,3,a,413,8,gold
371,12717.0,158,4,1258.91,314.73,2,2,3,b,223,7,silver
372,12718.0,78,1,238.25,238.25,3,1,1,b,311,5,bronze
373,12719.0,12,3,608.1,202.7,4,2,2,c,422,8,gold
374,12720.0,9,41,8047.88,196.29,4,4,4,c,444,12,platinum
375,12721.0,38,10,3906.68,390.67,3,4,4,a,344,11,platinum
376,12722.0,92,6,904.33,150.72,3,3,3,c,333,9,gold
377,12723.0,10,5,725.07,145.01,4,3,2,d,432,9,gold
378,12724.0,12,7,2317.52,331.07,4,3,4,b,434,11,platinum
379,12725.0,378,4,2694.56,673.64,2,2,4,a,224,8,gold
380,12726.0,35,11,4014.6,364.96,3,4,4,a,344,11,platinum
381,12727.0,17,12,5646.53,470.54,4,4,4,a,444,12,platinum
382,12728.0,78,5,1070.17,214.03,3,3,3,c,333,9,gold
383,12729.0,120,1,453.01,453.01,2,1,2,a,212,5,bronze
384,12730.0,528,1,829.25,829.25,1,1,2,a,112,4,bronze
385,12731.0,30,19,25673.21,1351.22,4,4,4,a,444,12,platinum
386,12732.0,186,1,236.26,236.26,2,1,1,b,211,4,bronze
387,12733.0,241,6,2326.82,387.8,2,3,4,a,234,9,gold
388,12734.0,359,3,639.65,213.22,2,2,2,c,222,6,silver
389,12735.0,322,2,779.57,389.78,2,1,2,a,212,5,bronze
390,12736.0,339,1,234.0,234.0,2,1,1,b,211,4,bronze
391,12737.0,505,2,3710.5,1855.25,1,1,4,a,114,6,silver
392,12738.0,379,1,310.7,310.7,2,1,1,b,211,4,bronze
393,12739.0,85,4,2726.73,681.68,3,2,4,a,324,9,gold
394,12740.0,70,1,427.6,427.6,3,1,2,a,312,6,silver
