Am indifferent to the feelings of others,Inquire about others' well-being,Know how to comfort others,Love children,Make people feel at ease,Am exacting in my work,Continue until everything is perfect,Do things according to a plan,Do things in a half-way manner,Waste my time,Don't talk a lot,Find it difficult to approach others,Know how to captivate people,Make friends easily,Take charge,Get angry easily,Get irritated easily,Have frequent mood swings,Often feel blue,Panic easily,Am full of ideas,Avoid difficult reading material,Carry the conversation to a higher level,Spend time reflecting on things,Will not probe deeply into a subject
2.0,5.0,6.0,6.0,6.0,4.0,5.0,4.0,3.0,4.0,1.0,2.0,6.0,6.0,6.0,4.0,4.0,5.0,2.0,3.0,6.0,1,6.0,4.0,3.0
2.0,5.0,1.0,3.0,5.0,5.0,4.0,5.0,2.0,5.0,1.0,2.0,6.0,5.0,4.0,1.0,4.0,2.0,2.0,5.0,2.0,4,5.0,4.0,1.0
4.0,5.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,1.0,2.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,1.0,4.0,4,6.0,5.0,1.0
1.0,6.0,5.0,6.0,3.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0,1.0,5.0,3.0,5.0,5.0,5.0,6.0,6.0,4.0,3,3.0,6.0,5.0
2.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,2.0,4.0,1.0,2.0,4.0,5.0,5.0,3.0,2.0,4.0,1.0,2.0,5.0,2,5.0,5.0,2.0
1.0,5.0,6.0,5.0,4.0,1.0,5.0,6.0,4.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,6.0,6,5.0,6.0,1.0
2.0,4.0,5.0,6.0,5.0,4.0,6.0,4.0,2.0,4.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,1.0,3.0,5.0,5,5.0,4.0,2.0
5.0,3.0,5.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,5,4.0,4.0,3.0
1.0,6.0,4.0,6.0,4.0,5.0,6.0,3.0,1.0,5.0,6.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,5,4.0,5.0,3.0
1.0,4.0,4.0,2.0,3.0,6.0,5.0,6.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5,4.0,5.0,2.0
1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,1,6.0,6.0,1.0
1.0,5.0,4.0,3.0,5.0,6.0,5.0,5.0,2.0,2.0,3.0,2.0,3.0,6.0,5.0,1.0,2.0,1.0,2.0,1.0,5.0,1,6.0,6.0,1.0
1.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,3,2.0,5.0,2.0
1.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0,3,5.0,4.0,3.0
5.0,6.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,6.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,5,4.0,4.0,4.0
2.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,3.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,5.0,2,5.0,5.0,1.0
1.0,6.0,6.0,6.0,6.0,5.0,2.0,1.0,2.0,1.0,6.0,5.0,6.0,6.0,5.0,2.0,1.0,4.0,6.0,5.0,6.0,5,6.0,6.0,1.0
5.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,3.0,5.0,2.0,3.0,5,4.0,4.0,2.0
2.0,6.0,4.0,5.0,5.0,3.0,2.0,3.0,4.0,6.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,5.0,4,5.0,3.0,2.0
1.0,5.0,3.0,2.0,3.0,3.0,6.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3,2.0,5.0,1.0
1.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,1.0,2.0,1.0,1.0,6.0,6.0,6.0,4.0,4.0,1.0,1.0,1.0,6.0,3,6.0,6.0,1.0
1.0,6.0,6.0,6.0,4.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,6.0,6.0,6.0,3.0,3.0,3.0,1,4.0,6.0,2.0
1.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,2.0,4.0,4.0,4.0,3.0,6.0,1.0,1.0,1.0,6.0,5.0,5.0,6,3.0,6.0,3.0
3.0,6.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,1.0,1.0,4.0,6.0,5.0,2.0,2.0,1.0,1.0,1.0,5.0,1,5.0,5.0,6.0
4.0,3.0,5.0,6.0,3.0,5.0,6.0,2.0,5.0,2.0,3.0,5.0,2.0,6.0,2.0,6.0,5.0,5.0,5.0,6.0,2.0,5,2.0,6.0,4.0
1.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0,1.0,2.0,5.0,6.0,5.0,2.0,3.0,2.0,3.0,2.0,5.0,3,5.0,5.0,2.0
1.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,3.0,5.0,1,6.0,6.0,1.0
1.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4,6.0,6.0,3.0
3.0,4.0,5.0,2.0,4.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,2,5.0,5.0,5.0
1.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,1.0,4.0,4.0,4.0,1.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4,4.0,2.0,1.0
3.0,3.0,5.0,4.0,5.0,6.0,4.0,4.0,2.0,2.0,2.0,1.0,4.0,6.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,3,5.0,5.0,2.0
2.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,6.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,6.0,5.0,2.0,2.0,4,3.0,5.0,5.0
2.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,6.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,6,4.0,6.0,2.0
4.0,5.0,3.0,5.0,4.0,6.0,5.0,5.0,2.0,2.0,1.0,1.0,5.0,6.0,6.0,3.0,5.0,3.0,1.0,3.0,4.0,1,4.0,6.0,1.0
2.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,1.0,4.0,3.0,6.0,5.0,4.0,4.0,4.0,3.0,6.0,6.0,4.0,4.0,1,6.0,6.0,3.0
1.0,5.0,4.0,2.0,5.0,1.0,2.0,2.0,2.0,6.0,2.0,5.0,2.0,2.0,1.0,2.0,5.0,5.0,4.0,2.0,5.0,4,4.0,6.0,1.0
4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,1.0,2.0,1.0,5.0,2.0,6.0,1,6.0,6.0,1.0
2.0,3.0,4.0,5.0,6.0,5.0,5.0,4.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0,3.0,2,5.0,5.0,2.0
1.0,6.0,6.0,3.0,6.0,6.0,5.0,6.0,1.0,4.0,4.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,5.0,2.0,6.0,2,3.0,5.0,2.0
4.0,5.0,6.0,6.0,4.0,4.0,6.0,6.0,1.0,2.0,4.0,3.0,5.0,5.0,5.0,2.0,3.0,3.0,1.0,3.0,4.0,1,4.0,6.0,2.0
4.0,4.0,4.0,5.0,3.0,5.0,4.0,6.0,2.0,4.0,2.0,2.0,4.0,6.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,1,4.0,2.0,3.0
1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,2.0,4.0,4.0,3.0,2.0,5.0,1.0,2.0,4.0,4.0,4.0,5.0,1,5.0,4.0,2.0
3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,4.0,2.0,1.0,2.0,2.0,3.0,5.0,1,5.0,4.0,2.0
2.0,5.0,5.0,6.0,5.0,5.0,4.0,6.0,3.0,2.0,1.0,1.0,4.0,6.0,5.0,2.0,2.0,3.0,3.0,2.0,5.0,1,4.0,3.0,4.0
2.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,6.0,6.0,5.0,2.0,4.0,2.0,1.0,1.0,6.0,3,5.0,4.0,1.0
5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,3.0,4.0,1.0,2.0,5.0,6.0,6.0,4.0,3.0,4.0,4.0,6.0,5.0,4,5.0,6.0,3.0
1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3,4.0,2.0,4.0
2.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,4.0,5.0,2.0,4.0,4,3.0,5.0,1.0
1.0,5.0,6.0,5.0,3.0,6.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,6.0,2,5.0,6.0,2.0
1.0,6.0,3.0,3.0,1.0,6.0,6.0,5.0,1.0,6.0,4.0,5.0,3.0,5.0,1.0,4.0,4.0,6.0,6.0,5.0,6.0,1,6.0,6.0,1.0
1.0,4.0,6.0,2.0,6.0,3.0,3.0,4.0,4.0,5.0,6.0,4.0,5.0,6.0,2.0,3.0,5.0,4.0,6.0,4.0,6.0,2,5.0,6.0,1.0
1.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,1.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,5,4.0,5.0,2.0
1.0,6.0,5.0,2.0,6.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,5.0,6.0,6.0,6.0,5,4.0,6.0,1.0
4.0,4.0,4.0,6.0,5.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,2.0,4.0,3.0,4,3.0,4.0,4.0
1.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,5,5.0,4.0,4.0
1.0,6.0,5.0,4.0,6.0,4.0,5.0,4.0,4.0,5.0,2.0,2.0,4.0,5.0,5.0,1.0,3.0,2.0,2.0,2.0,5.0,1,4.0,5.0,2.0
1.0,6.0,4.0,6.0,4.0,4.0,4.0,5.0,2.0,4.0,1.0,2.0,4.0,5.0,5.0,2.0,3.0,2.0,2.0,2.0,4.0,2,3.0,4.0,2.0
1.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,1.0,2.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,1.0,6.0,1,5.0,5.0,2.0
1.0,5.0,6.0,2.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,1,5.0,6.0,2.0
2.0,4.0,5.0,4.0,5.0,2.0,2.0,3.0,4.0,4.0,1.0,5.0,2.0,6.0,2.0,2.0,3.0,6.0,4.0,6.0,3.0,2,2.0,2.0,5.0
1.0,6.0,6.0,3.0,6.0,6.0,6.0,5.0,1.0,1.0,1.0,3.0,5.0,6.0,6.0,2.0,5.0,4.0,6.0,1.0,6.0,2,5.0,6.0,1.0
2.0,6.0,4.0,6.0,4.0,4.0,5.0,6.0,3.0,1.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,2.0,3.0,6.0,3.0,4,3.0,5.0,6.0
2.0,3.0,3.0,4.0,3.0,5.0,6.0,4.0,1.0,4.0,5.0,6.0,2.0,2.0,4.0,3.0,4.0,6.0,6.0,6.0,5.0,2,3.0,5.0,4.0
3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,3.0,5.0,4.0,4.0,4.0,5.0,1,3.0,6.0,1.0
1.0,4.0,5.0,5.0,6.0,6.0,4.0,4.0,1.0,1.0,5.0,1.0,2.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,5.0,1,5.0,6.0,1.0
4.0,3.0,2.0,6.0,5.0,4.0,5.0,6.0,2.0,6.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,5.0,1,2.0,6.0,4.0
2.0,6.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,5.0,5.0,3.0,2.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1,5.0,3.0,3.0
3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,5.0,4.0,4.0,2.0,2.0,4.0,4.0,2,5.0,4.0,2.0
2.0,5.0,5.0,5.0,2.0,6.0,6.0,4.0,1.0,5.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,6.0,2,5.0,6.0,1.0
1.0,4.0,5.0,2.0,6.0,2.0,1.0,2.0,4.0,6.0,6.0,5.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,3,4.0,5.0,6.0
1.0,6.0,4.0,1.0,1.0,6.0,4.0,5.0,2.0,1.0,6.0,6.0,3.0,1.0,1.0,4.0,3.0,6.0,6.0,5.0,2.0,3,3.0,6.0,3.0
1.0,6.0,5.0,6.0,6.0,5.0,3.0,4.0,6.0,5.0,2.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4,4.0,6.0,2.0
6.0,1.0,1.0,1.0,2.0,3.0,6.0,3.0,3.0,4.0,1.0,4.0,5.0,2.0,6.0,6.0,6.0,3.0,2.0,5.0,6.0,1,6.0,5.0,2.0
2.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,6.0,1.0,3.0,4.0,6.0,4.0,5.0,6.0,2.0,4.0,6.0,6.0,5,6.0,6.0,2.0
3.0,6.0,5.0,6.0,4.0,3.0,5.0,2.0,3.0,4.0,2.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,6.0,5.0,4,4.0,6.0,4.0
1.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,1,5.0,6.0,1.0
1.0,6.0,6.0,5.0,4.0,5.0,3.0,5.0,1.0,2.0,2.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,2,4.0,6.0,2.0
1.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,6.0,5.0,5.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,6.0,6.0,1,6.0,6.0,2.0
1.0,6.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,2.0,1.0,1.0,6.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,6.0,1,5.0,4.0,1.0
4.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,6.0,6.0,5.0,5.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,6,3.0,5.0,5.0
1.0,5.0,4.0,3.0,4.0,5.0,6.0,4.0,1.0,4.0,3.0,2.0,4.0,5.0,6.0,1.0,2.0,2.0,4.0,1.0,4.0,1,6.0,5.0,1.0
5.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,6.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,5.0,1,5.0,5.0,2.0
2.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,2.0,3.0,1.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,6.0,1,5.0,5.0,2.0
1.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,2.0,6.0,1.0,2.0,5.0,6.0,6.0,1.0,2.0,2.0,2.0,4.0,6.0,1,6.0,6.0,1.0
4.0,6.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,2.0,1.0,3.0,6.0,6.0,6.0,4.0,3.0,1.0,3.0,4.0,6.0,3,6.0,5.0,3.0
2.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,6.0,2.0,4,4.0,6.0,4.0
6.0,5.0,5.0,2.0,5.0,5.0,5.0,6.0,1.0,1.0,1.0,2.0,5.0,5.0,6.0,5.0,4.0,4.0,3.0,1.0,6.0,2,6.0,5.0,1.0
2.0,5.0,5.0,1.0,6.0,5.0,5.0,5.0,3.0,6.0,2.0,4.0,6.0,6.0,5.0,4.0,4.0,3.0,3.0,1.0,5.0,3,6.0,4.0,2.0
2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,1.0,2.0,2.0,4.0,2.0,5.0,2,5.0,6.0,1.0
2.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,6.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,1,6.0,6.0,1.0
2.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,3,5.0,4.0,2.0
2.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,3.0,5.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0,5.0,2,6.0,6.0,2.0
2.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,5.0,6.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,2,4.0,6.0,2.0
2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,6.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,2,4.0,6.0,3.0
3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,3,4.0,5.0,2.0
2.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,6.0,2.0,5.0,3.0,2.0,5.0,4.0,6.0,4.0,4.0,5.0,3.0,5,3.0,5.0,3.0
1.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,6,6.0,6.0,2.0
1.0,6.0,6.0,5.0,6.0,6.0,1.0,3.0,4.0,5.0,3.0,4.0,4.0,6.0,3.0,5.0,5.0,2.0,5.0,2.0,4.0,4,6.0,6.0,1.0
1.0,6.0,5.0,6.0,5.0,6.0,6.0,4.0,1.0,1.0,1.0,2.0,5.0,4.0,5.0,4.0,6.0,2.0,1.0,2.0,6.0,1,6.0,5.0,3.0
1.0,6.0,5.0,6.0,5.0,5.0,5.0,4.0,1.0,4.0,2.0,3.0,6.0,6.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,2,5.0,6.0,4.0
3.0,6.0,6.0,4.0,6.0,2.0,3.0,2.0,5.0,5.0,1.0,1.0,6.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,6.0,3,4.0,5.0,2.0
2.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,6.0,6.0,6.0,1.0,1.0,3.0,5.0,4.0,3.0,6.0,4.0,2.0,2,1.0,5.0,3.0
2.0,4.0,5.0,5.0,5.0,4.0,4.0,6.0,4.0,2.0,1.0,2.0,4.0,6.0,5.0,6.0,6.0,4.0,4.0,6.0,4.0,4,3.0,4.0,5.0
2.0,5.0,3.0,5.0,1.0,6.0,5.0,4.0,2.0,2.0,1.0,1.0,5.0,6.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,2,5.0,4.0,3.0
1.0,6.0,5.0,6.0,6.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,4,4.0,5.0,3.0
5.0,4.0,4.0,5.0,6.0,3.0,5.0,3.0,3.0,6.0,4.0,4.0,6.0,5.0,5.0,2.0,5.0,2.0,1.0,2.0,6.0,2,5.0,5.0,2.0
2.0,5.0,4.0,3.0,3.0,6.0,4.0,4.0,2.0,4.0,6.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,4.0,3.0,6.0,1,4.0,6.0,1.0
1.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,1.0,5.0,1.0,4.0,5.0,5.0,6.0,3.0,6.0,4.0,4.0,6.0,5.0,1,4.0,6.0,1.0
2.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4,5.0,5.0,2.0
2.0,6.0,3.0,5.0,2.0,4.0,4.0,6.0,4.0,5.0,2.0,1.0,5.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,2,5.0,2.0,1.0
1.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,5.0,2.0,4.0,4.0,2.0,5.0,2,5.0,5.0,1.0
1.0,5.0,5.0,3.0,3.0,5.0,2.0,2.0,5.0,6.0,2.0,3.0,2.0,3.0,4.0,5.0,5.0,5.0,3.0,2.0,5.0,2,5.0,6.0,2.0
1.0,6.0,6.0,5.0,6.0,6.0,5.0,3.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,4.0,6.0,1,6.0,6.0,1.0
